Year,Region,Ethnicity,Percentage,Absolute
2021/2022,Northern Ireland,Asian,1.7,32480.0
2021/2022,Northern Ireland,Black,0.6,11030.0
2021/2022,Northern Ireland,Irish Traveller,0.1,2610.0
2021/2022,Northern Ireland,Not stated,0.0,0.0
2021/2022,Northern Ireland,Other including mixed background,1.0,19479.0
2021/2022,Northern Ireland,White,96.6,1837575.0
2021/2022,Republic of Ireland,Asian,3.7,186321.0
2021/2022,Republic of Ireland,Black,1.5,76245.0
2021/2022,Republic of Ireland,Irish Traveller,0.6,32949.0
2021/2022,Republic of Ireland,Not stated,6.2,313176.0
2021/2022,Republic of Ireland,Other including mixed background,1.6,81051.0
2021/2022,Republic of Ireland,White,86.4,4395137.0
