Year,Region,Population
1841,All-Island,8175124
1851,All-Island,6552392
1861,All-Island,5798294
1871,All-Island,5412377
1881,All-Island,5174836
1891,All-Island,4704750
1901,All-Island,4458823
1911,All-Island,4390688
1926,All-Island,4225992
1936,All-Island,4244420
1946,All-Island,4288107
1951,All-Island,4333193
1956,All-Island,4295264
1961,All-Island,4245741
1966,All-Island,4362002
1971,All-Island,4518661
1979,All-Island,4896470
1981,All-Island,4986369
1986,All-Island,5114144
1991,All-Island,5133014
1996,All-Island,5287838
2002,All-Island,5614737
2006,All-Island,5982961
2011,All-Island,6402570
2016,All-Island,6627907
2022,All-Island,7059682
1841,Northern Ireland,1646325
1851,Northern Ireland,1440835
1861,Northern Ireland,1396183
1871,Northern Ireland,1359190
1881,Northern Ireland,1304816
1891,Northern Ireland,1236056
1901,Northern Ireland,1237000
1911,Northern Ireland,1251000
1926,Northern Ireland,1254000
1936,Northern Ireland,1276000
1946,Northern Ireland,1333000
1951,Northern Ireland,1372600
1956,Northern Ireland,1397000
1961,Northern Ireland,1427400
1966,Northern Ireland,1478000
1971,Northern Ireland,1540413
1979,Northern Ireland,1528253
1981,Northern Ireland,1542964
1986,Northern Ireland,1573501
1991,Northern Ireland,1607295
1996,Northern Ireland,1661751
2002,Northern Ireland,1697534
2006,Northern Ireland,1743113
2011,Northern Ireland,1814318
2016,Northern Ireland,1866042
2022,Northern Ireland,1910543
1841,Republic of Ireland,6528799
1851,Republic of Ireland,5111557
1861,Republic of Ireland,4402111
1871,Republic of Ireland,4053187
1881,Republic of Ireland,3870020
1891,Republic of Ireland,3468694
1901,Republic of Ireland,3221823
1911,Republic of Ireland,3139688
1926,Republic of Ireland,2971992
1936,Republic of Ireland,2968420
1946,Republic of Ireland,2955107
1951,Republic of Ireland,2960593
1956,Republic of Ireland,2898264
1961,Republic of Ireland,2818341
1966,Republic of Ireland,2884002
1971,Republic of Ireland,2978248
1979,Republic of Ireland,3368217
1981,Republic of Ireland,3443405
1986,Republic of Ireland,3540643
1991,Republic of Ireland,3525719
1996,Republic of Ireland,3626087
2002,Republic of Ireland,3917203
2006,Republic of Ireland,4239848
2011,Republic of Ireland,4588252
2016,Republic of Ireland,4761865
2022,Republic of Ireland,5149139
