Year,Region,Rating,Absolute,Percentage
2022,Northern Ireland,Bad,108962,5.7
2022,Northern Ireland,Fair,259983,13.7
2022,Northern Ireland,Good,546033,28.7
2022,Northern Ireland,Not stated,0,0.0
2022,Northern Ireland,Very Bad,37071,1.9
2022,Northern Ireland,Very good,951126,50.0
2022,Republic of Ireland,Bad,72050,1.4
2022,Republic of Ireland,Fair,440736,8.7
2022,Republic of Ireland,Good,1508222,29.7
2022,Republic of Ireland,Not stated,341222,6.7
2022,Republic of Ireland,Very Bad,16725,0.3
2022,Republic of Ireland,Very good,2705924,53.2
